account_length,voice_mail_plan,voice_mail_messages,day_mins,evening_mins,night_mins,international_mins,customer_service_calls,international_plan,day_calls,day_charge,evening_calls,evening_charge,night_calls,night_charge,international_calls,international_charge,total_charge
133,0,0,201.7,169.4,286.3,6,0,0,85,34.29,116,14.4,80,12.88,4,1.62,63.19
168,1,42,97.4,203.6,173.9,11.4,2,0,57,16.56,98,17.31,124,7.83,2,3.08,44.78
117,0,0,167.1,177.5,249.4,14.1,2,1,86,28.41,87,15.09,132,11.22,7,3.81,58.53
105,0,0,150,293.8,250.7,10.3,3,1,106,25.5,123,24.97,65,11.28,7,2.78,64.53
159,0,0,167.4,143.8,140.1,10.3,0,0,68,28.46,74,12.22,111,6.3,3,2.78,49.76
130,0,0,216.2,363.7,126.7,16.9,5,1,106,36.75,86,30.91,123,5.7,2,4.56,77.92
165,0,0,207.7,164.8,54.5,7.9,0,0,109,35.31,94,14.01,91,2.45,3,2.13,53.9
140,0,0,120.3,240.4,216.4,7.7,4,0,108,20.45,84,20.43,74,9.74,3,2.08,52.7
93,0,0,146.3,216.6,233,11.5,0,0,85,24.87,95,18.41,82,10.49,3,3.11,56.88
116,1,29,162.3,279.3,192.7,11.7,3,1,91,27.59,79,23.74,131,8.67,2,3.16,63.16
46,0,0,257.4,261.1,204.4,13.4,2,0,67,43.76,91,22.19,107,9.2,5,3.62,78.77
161,1,39,218.5,112.7,205.1,7.3,1,0,76,37.15,94,9.58,121,9.23,4,1.97,57.93
108,0,0,154.2,112.3,246.4,15.4,4,0,123,26.21,86,9.55,75,11.09,4,4.16,51.01
147,1,35,157.5,189.6,227,11.1,3,1,109,26.78,67,16.12,76,10.22,2,3,56.12
138,0,0,286.2,187.2,146.2,11,2,1,61,48.65,60,15.91,114,6.58,4,2.97,74.11
76,0,0,273.3,263.6,165.2,12,1,1,66,46.46,121,22.41,84,7.43,7,3.24,79.54
112,0,0,166,74.6,247.9,6.3,0,0,79,28.22,100,6.34,74,11.16,7,1.7,47.42
123,1,27,218.7,163.4,173.8,15,0,0,79,37.18,78,13.89,116,7.82,1,4.05,62.94
146,0,0,109,265.8,228.3,12.6,1,0,69,18.53,98,22.59,80,10.27,2,3.4,54.79
4,0,0,145.3,303.8,206.1,8.9,0,1,89,24.7,93,25.82,82,9.27,4,2.4,62.19
147,1,35,197.3,141.1,212.1,10.1,2,0,134,33.54,99,11.99,90,9.54,4,2.73,57.8
50,0,0,99.6,308.7,161.2,13.7,2,1,108,16.93,102,26.24,62,7.25,6,3.7,54.12
97,1,32,183.4,269.1,203.5,6.7,5,0,94,31.18,120,22.87,38,9.16,4,1.81,65.02
46,0,0,139.4,223.7,173.1,13.6,1,0,81,23.7,113,19.01,77,7.79,6,3.67,54.17
24,0,0,265.6,208.8,182.5,11.1,2,0,86,45.15,102,17.75,105,8.21,6,3,74.11
43,0,0,135.8,163.2,229.8,12.6,0,0,125,23.09,88,13.87,106,10.34,3,3.4,50.7
16,0,0,229.6,205.7,166.2,10.8,0,0,78,39.03,108,17.48,91,7.48,2,2.92,66.91
157,0,0,224.5,200.7,116.6,11.5,2,0,111,38.17,99,17.06,118,5.25,2,3.11,63.59
92,0,0,249.4,211.5,169,9.1,0,0,118,42.4,95,17.98,116,7.61,3,2.46,70.45
87,0,0,240,134.1,189.1,9.3,0,0,83,40.8,106,11.4,84,8.51,2,2.51,63.22
134,0,0,208.3,253.6,291,12.6,1,0,86,35.41,89,21.56,86,13.1,3,3.4,73.47
117,0,0,54.2,303.2,171.8,8.6,1,1,100,9.21,84,25.77,84,7.73,2,2.32,45.03
149,0,0,175.4,197.4,188.2,9.7,2,0,80,29.82,127,16.78,102,8.47,2,2.62,57.69
61,1,27,187.5,146.6,225.7,6.4,4,0,124,31.88,103,12.46,129,10.16,6,1.73,56.23
93,0,0,151.4,186.4,172.5,10.9,0,0,89,25.74,76,15.84,120,7.76,3,2.94,52.28
178,0,0,124.5,141.2,268.2,11.4,2,1,134,21.17,78,12,113,12.07,2,3.08,48.32
147,1,35,157.5,189.6,227,11.1,3,1,109,26.78,67,16.12,76,10.22,2,3,56.12
151,0,0,118.9,278.3,194.8,13.2,2,0,128,20.21,65,23.66,61,8.77,10,3.56,56.2
122,0,0,231.2,267.8,240.3,8.8,1,0,141,39.3,136,22.76,100,10.81,5,2.38,75.25
100,0,0,70.8,215.6,230.8,9.5,6,0,94,12.04,102,18.33,125,10.39,1,2.57,43.33
45,0,0,78.2,253.4,255,18,1,0,127,13.29,108,21.54,100,11.48,3,4.86,51.17
61,0,0,267.1,180.4,230.6,17.3,1,0,104,45.41,131,15.33,106,10.38,4,4.67,75.79
108,1,42,130.1,167,244.7,13.6,3,1,90,22.12,128,14.2,80,11.01,5,3.67,51
172,0,0,270,256.6,168.5,12,2,0,102,45.9,111,21.81,104,7.58,5,3.24,78.53
154,0,0,350.8,216.5,253.9,10.1,1,0,75,59.64,94,18.4,100,11.43,9,2.73,92.2
172,1,47,274.9,186.6,245,8.8,1,0,102,46.73,118,15.86,123,11.03,2,2.38,76
139,0,0,236.6,169.9,212.3,11.1,1,0,109,40.22,107,14.44,118,9.55,2,3,67.21
103,0,0,174.7,148,168.2,15.8,6,0,151,29.7,56,12.58,109,7.57,3,4.27,54.12
93,1,38,225.7,119.6,193.2,14,1,1,117,38.37,122,10.17,125,8.69,7,3.78,61.01
123,0,0,123.2,190,170.3,12.9,4,0,104,20.94,117,16.15,95,7.66,5,3.48,48.23
88,0,0,131.5,174.8,184.2,7.9,5,0,99,22.36,128,14.86,83,8.29,2,2.13,47.64
93,0,0,98.4,249.6,248.2,14.2,1,0,78,16.73,129,21.22,114,11.17,4,3.83,52.95
96,1,31,183.4,195.5,180.1,10.5,1,0,126,31.18,106,16.62,93,8.1,5,2.84,58.74
75,0,0,109,259.3,182.1,13.3,4,0,88,18.53,120,22.04,119,8.19,3,3.59,52.35
117,0,0,144.6,258.8,253.2,7.4,2,0,115,24.58,66,22,113,11.39,9,2,59.97
46,0,0,250.3,260.6,195,13.3,2,0,100,42.55,90,22.15,104,8.78,2,3.59,77.07
25,0,0,242.6,209,219.7,14.4,2,0,69,41.24,117,17.77,82,9.89,6,3.89,72.79
109,1,29,111.2,263.5,224.7,9,6,0,90,18.9,98,22.4,128,10.11,6,2.43,53.84
135,0,0,263.8,251.3,200.1,8.4,5,0,66,44.85,116,21.36,112,9,2,2.27,77.48
97,1,32,90,276.3,185.2,8.6,2,0,87,15.3,113,23.49,107,8.33,6,2.32,49.44
97,0,0,145,294.3,239.8,11,4,1,103,24.65,93,25.02,120,10.79,2,2.97,63.43
61,0,0,188.9,153.6,213.3,10.2,2,0,105,32.11,116,13.06,106,9.6,2,2.75,57.52
128,0,0,158.8,264.8,270,7.6,1,0,75,27,91,22.51,77,12.15,7,2.05,63.71
144,1,48,189.8,123.4,214.2,6.5,2,0,96,32.27,67,10.49,106,9.64,2,1.76,54.16
13,0,0,303.2,170.5,227.6,11.5,0,0,133,51.54,86,14.49,80,10.24,3,3.11,79.38
76,0,0,246.8,206.3,208.4,13.2,0,1,110,41.96,63,17.54,123,9.38,5,3.56,72.44
112,1,30,60.6,165.9,132.8,13.3,0,0,113,10.3,96,14.1,99,5.98,7,3.59,33.97
73,0,0,214.3,268.5,241.2,10.8,1,0,145,36.43,135,22.82,92,10.85,13,2.92,73.02
135,0,0,218.8,242.8,85.8,10.3,4,0,123,37.2,64,20.64,80,3.86,3,2.78,64.48
154,0,0,154.5,214.2,178,12,3,0,122,26.27,71,18.21,105,8.01,2,3.24,55.73
107,0,0,241.9,126.9,185.6,11.7,0,0,102,41.12,117,10.79,92,8.35,6,3.16,63.42
121,0,0,144.8,200.6,208.8,13.3,0,0,126,24.62,82,17.05,81,9.4,9,3.59,54.66
60,1,29,265.9,215.8,108.1,14,0,1,113,45.2,94,18.34,82,4.86,12,3.78,72.18
126,1,30,153.4,151.4,153.8,12.8,4,0,90,26.08,97,12.87,97,6.92,4,3.46,49.33
98,1,31,181.6,220.7,236.3,12.9,2,0,112,30.87,100,18.76,121,10.63,4,3.48,63.74
83,0,0,221.4,231.8,122.5,9.8,3,0,103,37.64,103,19.7,100,5.51,5,2.65,65.5
161,0,0,196.6,170.2,194.3,12.5,1,0,73,33.42,79,14.47,79,8.74,3,3.38,60.01
83,1,20,95,167.9,200.6,11.2,0,0,89,16.15,92,14.27,79,9.03,2,3.02,42.47
116,0,0,159.4,179.5,167.8,9.7,6,0,79,27.1,88,15.26,71,7.55,2,2.62,52.53
122,0,0,145.6,284.7,228.2,12.2,0,0,102,24.75,111,24.2,91,10.27,5,3.29,62.51
106,0,0,204,168.5,164,13.3,3,1,84,34.68,61,14.32,102,7.38,3,3.59,59.97
24,0,0,243,183.9,184.3,15.3,0,0,91,41.31,77,15.63,109,8.29,6,4.13,69.36
67,1,30,129.6,233,297,14.5,1,0,107,22.03,104,19.81,93,13.37,5,3.92,59.13
161,1,39,218.5,112.7,205.1,7.3,1,0,76,37.15,94,9.58,121,9.23,4,1.97,57.93
46,0,0,124.8,157.3,199.3,8.6,2,0,133,21.22,143,13.37,72,8.97,4,2.32,45.88
120,0,0,179.9,170,190.6,13.8,1,1,72,30.58,98,14.45,89,8.58,2,3.73,57.34
114,1,26,137.1,155.7,247.6,11.5,2,0,88,23.31,125,13.23,94,11.14,7,3.11,50.79
77,0,0,169.4,184.9,234.3,2,1,0,102,28.8,144,15.72,89,10.54,7,0.54,55.6
94,0,0,89.5,339.9,172.9,7.9,1,1,94,15.22,106,28.89,76,7.78,1,2.13,54.02
98,0,0,227.1,120.5,117,4.7,5,0,116,38.61,103,10.24,102,5.27,4,1.27,55.39
124,0,0,169.3,178.6,242.3,12.2,1,0,108,28.78,91,15.18,82,10.9,3,3.29,58.15
93,1,32,218.7,115,192.7,9.4,2,0,117,37.18,61,9.78,85,8.67,5,2.54,58.17
76,0,0,272.7,236.4,235.5,7.7,0,0,97,46.36,95,20.09,105,10.6,2,2.08,79.13
35,0,0,124.2,123.9,135.7,13.1,2,0,102,21.11,115,10.53,100,6.11,8,3.54,41.29
125,1,29,260.8,163.7,271.7,17,1,1,81,44.34,112,13.91,117,12.23,6,4.59,75.07
159,1,23,153.6,216.9,161.3,12.6,2,0,93,26.11,88,18.44,91,7.26,3,3.4,55.21
75,1,24,225.5,182,270.9,9.4,3,0,119,38.34,108,15.47,106,12.19,2,2.54,68.54
155,0,0,184.6,196,226.5,7.8,1,0,102,31.38,117,16.66,122,10.19,1,2.11,60.34
127,0,0,247.5,108.5,232,10.6,2,1,99,42.08,118,9.22,72,10.44,3,2.86,64.6
99,0,0,256.4,214.5,233.7,7.9,3,0,44,43.59,105,18.23,75,10.52,1,2.13,74.47
66,0,0,116.4,95.6,181.5,10.5,3,0,98,19.79,74,8.13,94,8.17,3,2.84,38.93
173,0,0,291.8,214.3,151.2,9.9,0,0,143,49.61,134,18.22,119,6.8,2,2.67,77.3
122,0,0,230.9,243.2,182.4,11,0,1,132,39.25,99,20.67,57,8.21,2,2.97,71.1
113,0,0,128.7,227.1,178.1,9.2,2,0,100,21.88,67,19.3,135,8.01,4,2.48,51.67
88,0,0,264.8,245.4,160.5,14.8,1,0,124,45.02,112,20.86,115,7.22,2,4,77.1
61,1,27,187.5,146.6,225.7,6.4,4,0,124,31.88,103,12.46,129,10.16,6,1.73,56.23
76,0,0,263.4,230.3,170.6,11.4,1,0,148,44.78,69,19.58,101,7.68,5,3.08,75.12
171,0,0,270.5,230,136,9.6,1,0,69,45.99,112,19.55,111,6.12,5,2.59,74.25
105,0,0,146.4,225.1,230.1,8.5,1,0,81,24.89,80,19.13,117,10.35,2,2.3,56.67
133,1,39,239.9,253.8,128.7,6.7,5,0,107,40.78,77,21.57,85,5.79,3,1.81,69.95
80,0,0,322.3,222,162.8,6.7,0,0,113,54.79,95,18.87,123,7.33,8,1.81,82.8
36,1,25,152.8,242.8,147.4,9.1,1,0,110,25.98,67,20.64,74,6.63,2,2.46,55.71
94,0,0,85.9,226.7,279.6,15.6,0,0,113,14.6,91,19.27,110,12.58,16,4.21,50.66
140,1,28,157.1,172.4,184.5,11.1,1,0,77,26.71,97,14.65,94,8.3,9,3,52.66
185,1,29,151.1,244.7,154.4,13.8,2,0,121,25.69,88,20.8,91,6.95,2,3.73,57.17
93,0,0,328.1,151.7,303.5,8.7,1,0,106,55.78,89,12.89,114,13.66,3,2.35,84.68
66,0,0,154,198.9,151.9,9.5,4,0,133,26.18,121,16.91,100,6.84,3,2.57,52.5
120,0,0,177.2,270.4,231.5,14,2,0,88,30.12,99,22.98,90,10.42,2,3.78,67.3
73,1,28,198.2,139.1,199.1,8.8,2,0,107,33.69,123,11.82,139,8.96,1,2.38,56.85
109,0,0,170.7,240.2,119,11.4,2,0,101,29.02,82,20.42,112,5.36,4,3.08,57.88
111,0,0,284.4,157,242.8,8.4,0,0,89,48.35,113,13.35,91,10.93,8,2.27,74.9
82,0,0,329.8,208.3,267.1,10.6,0,0,73,56.07,120,17.71,102,12.02,6,2.86,88.66
122,0,0,231.2,267.8,240.3,8.8,1,0,141,39.3,136,22.76,100,10.81,5,2.38,75.25
140,0,0,194.8,170.9,225.1,13.9,0,0,107,33.12,99,14.53,93,10.13,4,3.75,61.53
85,1,17,89.8,233.2,165.7,9.3,4,0,88,15.27,75,19.82,116,7.46,7,2.51,45.06
161,0,0,154.7,177.8,172.9,5.9,4,0,84,26.3,125,15.11,90,7.78,2,1.59,50.78
84,0,0,169.5,157.6,98.2,10.6,0,0,96,28.82,94,13.4,70,4.42,7,2.86,49.5
110,1,40,202.6,118.8,234.9,9,2,0,103,34.44,128,10.1,98,10.57,9,2.43,57.54
76,0,0,263.4,230.3,170.6,11.4,1,0,148,44.78,69,19.58,101,7.68,5,3.08,75.12
132,0,0,214.6,251.7,240.8,13.9,0,0,78,36.48,98,21.39,88,10.84,2,3.75,72.46
87,0,0,110.9,158.5,207.5,6.2,1,0,91,18.85,115,13.47,131,9.34,5,1.67,43.33
108,0,0,154.2,112.3,246.4,15.4,4,0,123,26.21,86,9.55,75,11.09,4,4.16,51.01
32,1,26,243.5,236.8,173.3,9,1,0,137,41.4,108,20.13,149,7.8,9,2.43,71.76
155,0,0,203.4,190.9,196,8.9,0,0,100,34.58,104,16.23,119,8.82,4,2.4,62.03
76,0,0,273.3,263.6,165.2,12,1,1,66,46.46,121,22.41,84,7.43,7,3.24,79.54
106,1,26,270.3,215.2,254,14.4,1,1,111,45.95,90,18.29,133,11.43,7,3.89,79.56
103,0,0,70.9,134.5,168.8,12,2,0,134,12.05,112,11.43,164,7.6,6,3.24,34.32
95,0,0,149.2,260.7,201,8.1,1,0,96,25.36,116,22.16,120,9.05,2,2.19,58.76
59,0,0,166.3,239.3,123.2,10,2,0,95,28.27,87,20.34,108,5.54,3,2.7,56.85
75,0,0,111.7,237.3,253.5,13.1,1,0,121,18.99,119,20.17,110,11.41,6,3.54,54.11
116,1,29,162.3,279.3,192.7,11.7,3,1,91,27.59,79,23.74,131,8.67,2,3.16,63.16
111,0,0,249.8,242.4,231.8,11.6,0,0,109,42.47,106,20.6,78,10.43,4,3.13,76.63
66,0,0,170.5,254.3,197.3,10.5,2,0,103,28.99,77,21.62,138,8.88,2,2.84,62.33
212,0,0,226,304.6,181.2,12.6,2,0,127,38.42,83,25.89,132,8.15,4,3.4,75.86
93,0,0,312,129.4,217.6,10.5,0,1,109,53.04,100,11,74,9.79,2,2.84,76.67
132,1,15,154.6,245.6,148.6,9.1,1,0,128,26.28,106,20.88,90,6.69,4,2.46,56.31
17,1,31,153.1,185.9,224.3,10,6,0,115,26.03,59,15.8,102,10.09,1,2.7,54.62
117,0,0,54.2,303.2,171.8,8.6,1,1,100,9.21,84,25.77,84,7.73,2,2.32,45.03
147,1,35,197.3,141.1,212.1,10.1,2,0,134,33.54,99,11.99,90,9.54,4,2.73,57.8
169,0,0,235.7,136.9,220.9,13.3,1,0,79,40.07,85,11.64,97,9.94,10,3.59,65.24
107,0,0,133.3,182.9,241.1,12.9,3,1,106,22.66,89,15.55,123,10.85,2,3.48,52.54
123,0,0,211,217,214.8,9.8,3,0,92,35.87,102,18.45,104,9.67,7,2.65,66.64
145,0,0,39.5,264.3,185.8,10,0,0,78,6.72,106,22.47,90,8.36,6,2.7,40.25
33,1,29,157.4,117.9,279.2,13.9,4,0,99,26.76,80,10.02,79,12.56,11,3.75,53.09
121,0,0,255.1,266.9,197.7,8.8,3,0,93,43.37,97,22.69,118,8.9,3,2.38,77.34
111,0,0,132.6,221.1,127.9,12.7,4,0,125,22.54,67,18.79,101,5.76,2,3.43,50.52
127,0,0,143.2,179.5,171.8,6.2,4,1,60,24.34,159,15.26,122,7.73,4,1.67,49
44,0,0,288.8,175.9,215.4,9.5,0,0,86,49.1,87,14.95,106,9.69,2,2.57,76.31
73,0,0,203.3,141.9,200.7,8.5,0,0,45,34.56,87,12.06,71,9.03,6,2.3,57.95
67,1,20,230.6,189.1,162.2,9.4,1,0,40,39.2,58,16.07,115,7.3,2,2.54,65.11
56,0,0,222.7,277,101.8,13.6,4,0,133,37.86,89,23.55,94,4.58,4,3.67,69.66
149,0,0,176.2,145,249.5,5.7,0,1,87,29.95,81,12.33,92,11.23,4,1.54,55.05
81,0,0,153.5,197.6,198.5,6.3,2,0,99,26.1,102,16.8,86,8.93,2,1.7,53.53
159,0,0,275.8,189.5,223.9,7.4,2,0,103,46.89,108,16.11,93,10.08,5,2,75.08
78,1,21,160.6,223.1,124,9.5,2,0,85,27.3,79,18.96,92,5.58,1,2.57,54.41
103,0,0,150.6,169.1,221.2,10.4,8,0,125,25.6,126,14.37,104,9.95,8,2.81,52.73
75,1,41,130.9,203.4,171.7,12.4,1,0,115,22.25,110,17.29,68,7.73,4,3.35,50.62
23,0,0,113.1,168.8,262.9,6.9,1,0,74,19.23,95,14.35,126,11.83,2,1.86,47.27
130,0,0,212.8,189.8,170.1,10.6,0,0,102,36.18,137,16.13,105,7.65,4,2.86,62.82
74,0,0,262.3,198.9,165.9,6.6,3,0,114,44.59,96,16.91,90,7.47,5,1.78,70.75
68,0,0,213.9,260.5,233.8,8.4,1,0,112,36.36,100,22.14,97,10.52,3,2.27,71.29
182,0,0,279.1,180.5,217.5,9.5,2,0,124,47.45,108,15.34,104,9.79,11,2.57,75.15
155,0,0,203.4,190.9,196,8.9,0,0,100,34.58,104,16.23,119,8.82,4,2.4,62.03
49,0,0,266.3,207.8,205,14,2,0,90,45.27,117,17.66,98,9.23,2,3.78,75.94
122,0,0,296.4,214.8,133.9,11.4,4,0,99,50.39,89,18.26,107,6.03,3,3.08,77.76
110,0,0,55.3,164.7,200.7,10.2,1,0,102,9.4,124,14,108,9.03,5,2.75,35.18
105,0,0,273.9,278.6,255.3,10.9,1,1,119,46.56,103,23.68,90,11.49,7,2.94,84.67
119,1,26,161.3,250.3,142.4,6.6,1,0,97,27.42,110,21.28,92,6.41,8,1.78,56.89
16,0,0,229.6,205.7,166.2,10.8,0,0,78,39.03,108,17.48,91,7.48,2,2.92,66.91
129,0,0,137.8,225.8,145.2,10.2,1,0,120,23.43,110,19.19,95,6.53,6,2.75,51.9
159,0,0,257.1,312.2,183,8.8,1,1,53,43.71,127,26.54,82,8.24,6,2.38,80.87
136,0,0,250.2,267.1,151,13,1,0,121,42.53,118,22.7,114,6.8,2,3.51,75.54
28,0,0,121.7,125.8,261.6,8.3,6,0,48,20.69,112,10.69,122,11.77,2,2.24,45.39
65,0,0,245.7,241.9,285.3,4.2,4,0,139,41.77,113,20.56,117,12.84,5,1.13,76.3
143,0,0,167.8,211,153.5,10.5,4,0,72,28.53,99,17.94,109,6.91,6,2.84,56.22
94,0,0,157.9,155,189.6,8,4,0,105,26.84,101,13.18,84,8.53,5,2.16,50.71
95,0,0,184.2,181.6,143.4,12.8,2,0,95,31.31,101,15.44,113,6.45,4,3.46,56.66
46,0,0,40.4,172.4,145.1,9,2,0,105,6.87,83,14.65,89,6.53,2,2.43,30.48
88,0,0,113.7,165.1,141.5,10.8,1,0,67,19.33,127,14.03,142,6.37,3,2.92,42.65
90,0,0,148.2,220.4,134.2,9.2,4,1,96,25.19,111,18.73,97,6.04,1,2.48,52.44
72,1,33,96.6,315.4,163.3,6.2,4,0,59,16.42,98,26.81,117,7.35,4,1.67,52.25
85,0,0,236.9,197.7,309.1,11.4,2,0,93,40.27,113,16.8,78,13.91,7,3.08,74.06
81,1,36,115.9,236.6,255,11.7,3,0,120,19.7,95,20.11,90,11.48,6,3.16,54.45
61,1,40,105,180.6,174.1,10.2,2,0,78,17.85,100,15.35,115,7.83,2,2.75,43.78
45,1,26,91.7,150.6,63.3,7.7,1,0,104,15.59,119,12.8,103,2.85,5,2.08,33.32
98,0,0,161,190.9,227.7,12.1,4,0,117,27.37,113,16.23,113,10.25,4,3.27,57.12
88,0,0,142.2,262.4,139.2,10.1,1,0,107,24.17,84,22.3,99,6.26,5,2.73,55.46
148,0,0,218.7,155.6,277.4,8.2,1,1,111,37.18,133,13.23,62,12.48,5,2.21,65.1
